"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1387243_at",1.57847694444444,13.3552716388889,24.9066592585312,2.54068663441578e-17,7.90128136436962e-13,20.0447162395111
"1370613_s_at",0.784688111111112,12.7759399444444,14.5594578055165,1.34706529985665e-12,2.0946191880121e-08,15.1111530070238
"1387759_s_at",0.992616555555556,11.8869101111111,14.1474734025115,2.35883352122916e-12,2.44524545589019e-08,14.7811845670936
"1383325_at",0.473877344444445,5.99099930555556,9.83797200015536,2.08325597494283e-09,1.61967943911868e-05,10.2309104093642
"1387901_at",-0.466830944444443,8.51323213888889,-6.98844271590144,5.93566989020178e-07,0.0036918679583077,5.77417000619686
"1372297_at",0.420596777777778,11.1949996111111,6.83529602562495,8.29063230240596e-07,0.00429717289954205,5.4959554286916
"1384544_at",0.345374555555556,11.8543048888889,6.76317819209302,9.71372036460207e-07,0.00431552842312514,5.3635759909948
"1368168_at",-1.23589822222222,8.56860227777778,-6.46191553302805,1.89635858836287e-06,0.00737185696743709,4.80124631961302
"1380888_at",0.538433611111111,5.98290030555556,6.3166187356637,2.62916683211216e-06,0.00908493992353955,4.52475075509893
"1367669_a_at",0.381982888888888,9.68100727777778,6.23632273226549,3.15296071918157e-06,0.00980539254058277,4.37050659356022
